Player,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals_Added,player_id
Belal Halbouni,VAN,2024,CB,189,0.13,0.01,0.08,0.02,-0.01,0.06,0.29,615
Albert Rusnák,SEA,2024,AM,2798,0.22,-0.05,-0.27,1.12,-0.76,0.02,0.28,37
Maxime Chanot,LAFC,2024,CB,1524,-0.0,0.13,-0.24,0.26,0.2,-0.07,0.28,504
Thiago Martins,NYC,2024,CB,3193,0.14,0.05,-0.19,1.05,-0.55,-0.2,0.28,30
Bill Tuiloma,CLT,2024,CB,225,0.03,0.02,0.04,0.15,-0.01,0.06,0.28,326
Tomás Chancalay,NER,2024,W,1066,0.41,-0.2,-0.07,-0.1,-0.33,0.57,0.27,118
Wyatt Omsberg,CHI,2024,CB,939,-0.02,0.02,0.26,0.13,-0.12,0.0,0.27,509
Ronald Hernández,ATL,2024,FB,831,-0.04,0.03,0.13,0.22,-0.18,0.1,0.26,346
Kwadwo Opoku,MTL,2024,AM,596,-0.21,-0.05,-0.07,-0.1,0.66,0.03,0.26,325
Aleksey Miranchuk,ATL,2024,AM,852,0.32,-0.03,-0.32,0.64,-0.25,-0.1,0.26,16
Loïc Mesanvi,MIN,2024,W,80,-0.05,-0.01,-0.01,0.06,0.23,0.04,0.25,805
Steven Birnbaum,DCU,2024,CB,388,-0.1,-0.01,0.26,0.02,0.06,0.02,0.25,1088
David Brekalo,ORL,2024,CB,1330,0.21,0.12,-0.1,-0.22,0.26,-0.01,0.25,219
Pep Biel,CLT,2024,W,649,0.07,-0.06,-0.12,0.2,0.02,0.13,0.24,38
Markus Anderson,PHI,2024,CM,119,0.36,-0.01,-0.04,-0.06,-0.01,-0.0,0.24,641
DeAndre Yedlin,"CIN, MIA",2024,FB,2786,-0.31,0.34,0.32,-0.7,0.79,-0.21,0.24,141
Keaton Parks,NYC,2024,DM,2841,-0.54,0.2,-1.32,0.61,1.17,0.1,0.23,115
Logan Ndenbe,SKC,2024,FB,273,-0.0,0.03,0.07,0.11,-0.04,0.06,0.22,374
Josh Atencio,SEA,2024,DM,1225,0.34,0.01,0.07,-0.64,0.04,0.38,0.22,421
João Paulo,SEA,2024,DM,1420,0.06,0.08,-0.26,0.52,-0.29,0.1,0.21,72
Daniel Munie,SJE,2024,CB,1261,-0.28,0.07,0.64,0.08,-0.21,-0.1,0.21,835
Jonathan Lewis,COL,2024,W,903,0.09,-0.3,-0.04,0.06,0.29,0.1,0.21,357
Danny Leyva,SEA,2024,DM,282,-0.01,0.01,0.18,0.17,-0.14,-0.02,0.2,483
