"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Eduard Löwen","STL","2024","DM","2106","1357","74.9%","75.0%","-1.17","-0.09","21.36","7.45","12.4%","23"
"","Pedro Amador","ATL","2024","FB","915","474","76.6%","76.8%","-1.18","-0.25","19.82","3.46","11.2%","9"
"","Lukas MacNaughton","NSH","2024","CB","455","277","84.5%","84.9%","-1.23","-0.44","24.89","7.54","8.8%","6"
"","Malcolm Fry","NER","2024","ST","39","9","66.7%","80.5%","-1.25","-13.86","14.17","-3.68","1.4%","2"
"","Morris Duggan","MIN","2024","CB","61","24","70.8%","76.1%","-1.25","-5.23","25.26","14.05","3.0%","2"
"","Jack Panayotou","NER","2024","W","289","105","78.1%","79.3%","-1.26","-1.20","17.65","2.90","3.7%","6"
"","Benji Michel","RSL","2024","ST","39","15","66.7%","75.1%","-1.26","-8.41","14.81","-5.60","1.2%","2"
"","Boris Enow","DCU","2024","CM","348","137","82.5%","83.4%","-1.28","-0.94","20.02","4.75","4.6%","7"
"","Tommy McNamara","NER","2024","W","224","92","80.4%","81.8%","-1.29","-1.41","17.61","5.08","3.4%","5"
"","Aidan O'Connor","NYRB","2024","CB","37","7","28.6%","47.5%","-1.33","-18.98","16.05","15.12","1.4%","2"
"","Finn Surman","POR","2024","CB","98","46","82.6%","85.5%","-1.35","-2.93","24.13","7.61","8.2%","1"
"","Randall Leal","NSH","2024","W","65","29","75.9%","80.6%","-1.37","-4.71","17.52","3.31","1.3%","4"
"","Tom Pearce","MTL","2024","FB","284","150","73.3%","74.3%","-1.42","-0.95","20.49","0.09","3.1%","8"
"","Ralph Priso","VAN","2024","DM","550","231","84.9%","85.5%","-1.44","-0.63","18.84","3.00","3.5%","14"
"","Lachlan Brook","RSL","2024","W","279","84","77.4%","79.2%","-1.54","-1.83","19.86","2.04","2.8%","7"
"","Alec Smir","MIN","2024","GK","300","72","68.1%","70.2%","-1.57","-2.19","35.91","28.52","5.4%","3"
"","Jamie Paterson","CLT","2024","W","80","23","69.6%","76.6%","-1.62","-7.06","18.16","1.05","1.4%","4"
"","Tega Ikoba","POR","2024","ST","16","2","0.0%","81.8%","-1.64","-81.76","0.00","0.00","0.4%","2"
"","Niko Tsakiris","SJE","2024","DM","1611","699","83.8%","84.1%","-1.65","-0.24","17.44","1.99","6.3%","25"
"","Oliver Semmle","PHI","2024","GK","1633","441","67.8%","68.2%","-1.68","-0.38","37.39","29.63","5.1%","17"
"","Tarik Scott","FCD","2024","W","72","30","66.7%","72.3%","-1.68","-5.59","17.74","2.60","3.9%","2"
"","Spencer Richey","CHI","2024","GK","103","30","60.0%","65.6%","-1.68","-5.60","38.53","32.13","6.3%","1"
"","Carl Sainté","FCD","2024","DM","186","65","87.7%","90.3%","-1.70","-2.61","16.87","-1.32","2.7%","6"
"","Michael Halliday","ORL","2024","FB","155","64","75.0%","77.7%","-1.72","-2.68","15.46","2.57","2.5%","6"
"","Sota Kitahara","SEA","2024","FB","160","65","73.9%","76.5%","-1.72","-2.65","17.61","5.49","6.2%","2"
"","Herbert Endeley","FCD","2024","FB","134","44","79.5%","83.5%","-1.76","-3.99","18.25","-1.71","2.6%","4"
"","Julian Hall","NYRB","2024","ST","232","61","73.8%","76.7%","-1.79","-2.93","16.36","2.50","1.4%","11"
"","Ousman Jabang","MTL","2024","FB","15","8","37.5%","59.9%","-1.79","-22.39","19.54","16.48","2.1%","1"
"","Javain Brown","VAN, RSL","2024","CB","1463","840","78.6%","78.8%","-1.82","-0.22","22.43","4.17","7.4%","22"
"","Cassius Mailula","TOR","2024","AM","30","10","60.0%","78.3%","-1.83","-18.30","12.57","-2.92","1.3%","2"
"","Brandon Cambridge","CLT","2024","W","48","14","35.7%","48.9%","-1.85","-13.20","16.17","-0.97","0.8%","4"
"","Federico Navarro","CHI","2024","DM","791","352","86.4%","86.9%","-1.91","-0.54","18.99","1.89","4.8%","16"
"","Ousseni Bouda","SJE","2024","ST","433","101","78.2%","80.1%","-1.91","-1.89","14.69","-2.31","2.2%","12"
"","Dominique Badji","DCU","2024","ST","349","75","72.0%","74.6%","-1.91","-2.55","13.19","-1.61","2.1%","9"
"","Patrick Weah","MIN","2024","ST","53","11","54.5%","72.2%","-1.95","-17.69","17.37","5.40","1.1%","3"
"","Drake Callender","MIA","2024","GK","3273","1116","80.8%","81.0%","-1.95","-0.17","30.42","21.22","5.7%","32"
"","Andrés Gómez","RSL","2024","W","2018","600","67.5%","67.8%","-1.97","-0.33","16.81","0.55","6.8%","23"
"","Nicholas Gioacchini","CIN","2024","ST","492","108","79.6%","81.5%","-2.01","-1.86","12.43","-2.40","3.2%","8"
"","Jacob Jackson","SJE","2024","GK","293","100","75.0%","77.1%","-2.11","-2.11","34.71","23.87","6.3%","3"
"","David Martínez","LAFC","2024","W","540","194","78.9%","80.0%","-2.15","-1.11","20.68","1.60","2.9%","17"
"","Aljaž Ivačič","NER","2024","GK","2512","784","68.8%","69.0%","-2.23","-0.28","40.62","31.75","5.8%","25"
"","Caden Glover","STL","2024","ST","83","9","44.4%","69.6%","-2.26","-25.15","10.47","-2.89","0.6%","5"
"","Hosei Kijima","STL","2024","W","927","238","73.1%","74.1%","-2.30","-0.97","14.82","3.47","4.1%","18"
"","José Martínez","PHI","2024","DM","1139","538","78.8%","79.2%","-2.31","-0.43","21.91","8.09","7.5%","16"
"","Yuya Kubo","CIN","2024","ST","2687","949","82.3%","82.5%","-2.36","-0.25","16.82","0.66","6.2%","32"
"","Ryan Sailor","MIA","2024","CB","390","197","86.3%","87.5%","-2.37","-1.20","22.72","3.56","3.7%","9"
"","Jose Casas de Abadal","MIA","2024","W","45","30","76.7%","84.8%","-2.44","-8.13","16.54","1.96","2.1%","2"
"","Charles Sharp","TOR","2024","ST","36","7","14.3%","49.7%","-2.48","-35.41","7.18","-5.06","1.5%","2"
"","Thomas Hasal","LAFC","2024","GK","104","32","65.6%","73.5%","-2.50","-7.83","36.27","27.14","5.5%","1"
"","Oscar Verhoeven","SJE","2024","FB","434","201","78.6%","79.9%","-2.55","-1.27","19.18","3.63","7.2%","6"
"","Nicholas Hagen","CLB","2024","GK","376","130","80.8%","82.7%","-2.55","-1.97","28.45","21.01","4.8%","4"
"","Jack Skahan","SJE","2024","CM","1010","274","75.5%","76.5%","-2.60","-0.95","17.88","1.55","2.4%","29"
"","Joaquín Fernández","SKC","2024","CB","122","66","80.3%","84.3%","-2.61","-3.95","22.79","6.69","6.8%","2"
"","Giuseppe Bovalina","VAN","2024","FB","230","54","66.7%","71.6%","-2.69","-4.97","19.64","0.43","1.2%","11"
"","Chris Durkin","STL","2024","DM","2577","1044","75.0%","75.3%","-2.73","-0.26","20.37","7.69","8.6%","28"
"","Markus Anderson","PHI","2024","CM","119","12","41.7%","64.5%","-2.74","-22.84","13.58","-1.12","1.5%","4"
"","Marcelo Silva","RSL","2024","CB","212","104","80.8%","83.4%","-2.77","-2.67","21.10","9.61","6.4%","3"
"","Lewis Morgan","NYRB","2024","ST","2717","741","71.7%","72.0%","-2.80","-0.38","18.02","1.56","6.6%","29"
"","Martín Ojeda","ORL","2024","AM","2127","1060","74.8%","75.1%","-2.83","-0.27","20.58","-0.66","5.9%","34"
"","Isaac Boehmer","VAN","2024","GK","107","36","47.2%","55.1%","-2.85","-7.92","48.73","42.25","7.8%","1"
"","Santiago Rodríguez","NYC","2024","AM","3172","1671","77.2%","77.4%","-2.86","-0.17","18.94","2.58","10.9%","32"
"","Felipe Hernández","SKC","2024","CM","446","159","81.1%","82.9%","-2.87","-1.81","18.25","0.98","4.4%","7"
"","Jacob Murrell","DCU","2024","ST","1113","169","66.9%","68.6%","-2.92","-1.72","15.17","0.17","2.0%","27"
"","Georgi Minoungou","SEA","2024","W","424","121","70.3%","72.7%","-2.92","-2.41","16.90","-2.60","3.5%","10"
"","Andrew Rick","PHI","2024","GK","615","160","56.3%","58.1%","-2.95","-1.84","45.72","38.05","5.8%","6"
"","Nathan Saliba","MTL","2024","CM","1846","1007","86.0%","86.3%","-2.98","-0.30","18.52","3.20","7.6%","24"
"","Tyler Wolff","ATL","2024","W","594","181","79.6%","81.2%","-3.05","-1.68","15.92","0.73","2.5%","18"
"","Osman Bukari","ATX","2024","W","676","155","66.5%","68.4%","-3.08","-1.99","16.97","0.29","4.9%","9"
"","Léo Chú","SEA","2024","W","776","198","72.7%","74.3%","-3.10","-1.57","14.74","-1.20","3.6%","14"
"","Chris Donovan","PHI","2024","ST","511","125","60.8%","63.3%","-3.11","-2.49","12.98","1.62","1.9%","18"
"","Raúl Ruidíaz","SEA","2024","ST","1504","420","81.4%","82.2%","-3.22","-0.77","17.65","-0.96","4.1%","24"
"","Peyton Miller","NER","2024","FB","743","346","77.5%","78.4%","-3.23","-0.93","19.29","1.70","7.0%","10"
"","Kipp Keller","CIN","2024","CB","945","625","87.2%","87.7%","-3.31","-0.53","21.30","5.37","6.8%","16"
"","Steve Clark","HOU","2024","GK","3118","897","83.7%","84.1%","-3.37","-0.38","28.37","19.10","4.6%","31"
"","Brandon Servania","TOR","2024","CM","78","30","63.3%","74.8%","-3.45","-11.50","17.21","5.46","2.3%","3"
"","Miguel Berry","LAG","2024","ST","1009","168","69.6%","71.7%","-3.53","-2.10","12.61","0.19","1.2%","31"
"","Dominic Iankov","MTL","2024","AM","814","227","78.0%","79.5%","-3.54","-1.56","14.65","1.64","2.7%","21"
"","Eric Miller","POR","2024","FB","1196","546","79.8%","80.5%","-3.61","-0.66","18.93","1.95","4.1%","25"
"","Logan Farrington","FCD","2024","ST","1455","349","75.4%","76.4%","-3.63","-1.04","14.00","0.65","3.3%","29"
"","Jack Lynn","ORL","2024","ST","322","73","69.9%","74.9%","-3.65","-5.00","13.42","1.61","1.5%","11"
"","Hugo Lloris","LAFC","2024","GK","3336","1096","71.5%","71.9%","-3.66","-0.33","38.27","28.58","6.0%","33"
"","Serge Ngoma","NYRB","2024","W","182","49","67.3%","75.0%","-3.73","-7.61","17.39","-1.86","1.5%","8"
"","Maxi Moralez","NYC","2024","AM","1016","675","78.7%","79.2%","-3.88","-0.58","18.17","2.82","6.9%","17"
"","Pablo Ruiz","RSL","2024","AM","194","104","69.2%","73.0%","-3.89","-3.74","21.10","5.30","6.5%","3"
"","Richie Laryea","TOR","2024","FB","1018","360","80.8%","81.9%","-3.97","-1.10","17.69","1.84","7.2%","12"
"","Bernard Kamungo","FCD","2024","AM","1525","366","77.0%","78.1%","-4.04","-1.10","16.02","-0.98","3.4%","29"
"","Gavin Beavers","RSL","2024","GK","1134","362","76.5%","77.6%","-4.06","-1.12","32.81","23.74","5.7%","11"
"","Henrich Ravas","NER","2024","GK","814","233","69.1%","70.9%","-4.08","-1.75","36.97","28.14","4.8%","8"
"","Andrew Thomas","SEA","2024","GK","682","154","61.0%","63.7%","-4.09","-2.65","38.54","30.61","4.4%","7"
"","Esmir Bajraktarevic","NER","2024","W","2192","784","77.9%","78.5%","-4.15","-0.53","18.08","-0.41","6.0%","29"
"","Maikel Chang","RSL","2024","W","497","230","69.6%","71.4%","-4.18","-1.82","20.30","1.06","2.0%","22"
"","Tyler Boyd","NSH","2024","W","1246","359","74.9%","76.1%","-4.20","-1.17","18.97","1.84","4.2%","21"
"","Victor Eriksson","MIN","2024","CB","198","84","77.4%","82.4%","-4.24","-5.05","22.25","8.13","4.1%","4"
"","CJ Fodrey","ATX","2024","W","257","81","59.3%","64.7%","-4.40","-5.43","17.24","0.87","1.8%","12"
"","Diego Gómez","MIA","2024","W","1512","608","80.9%","81.6%","-4.40","-0.72","17.60","1.42","6.5%","19"
"","Erik Sviatchenko","HOU","2024","CB","2713","1481","83.2%","83.5%","-4.55","-0.31","22.51","7.24","7.8%","31"
"","Ema Twumasi","FCD","2024","FB","1351","642","85.0%","85.8%","-4.58","-0.71","16.58","0.24","6.6%","19"
"","Xherdan Shaqiri","CHI","2024","AM","820","414","73.7%","74.8%","-4.62","-1.12","21.83","4.30","6.4%","12"
"","Sam Adeniran","PHI, STL","2024","ST","873","162","69.8%","72.6%","-4.66","-2.87","15.40","-0.95","2.3%","24"
"","Kévin Cabral","COL","2024","W","1463","344","75.9%","77.2%","-4.67","-1.36","15.00","-0.14","4.0%","23"
"","Sebastian Breza","MTL","2024","GK","102","37","43.2%","56.1%","-4.77","-12.90","43.19","37.04","11.6%","1"
"","Dairon Asprilla","POR","2024","ST","818","252","75.4%","77.3%","-4.79","-1.90","14.81","-2.24","3.2%","19"
"","Indiana Vassilev","STL","2024","W","2075","693","73.5%","74.2%","-4.88","-0.70","19.27","0.50","6.0%","29"
"","Brecht Dejaegere","CLT","2024","W","1063","309","72.2%","73.8%","-4.90","-1.58","16.77","1.67","4.1%","20"
"","Alejandro Bran","MIN","2024","CM","476","212","82.1%","84.4%","-4.90","-2.31","20.00","3.88","4.3%","11"
"","Sebastian Anderson","COL","2024","FB","588","274","73.7%","75.5%","-4.92","-1.80","19.07","4.17","6.3%","9"
"","Shane O'Neill","TOR","2024","CB","1289","589","79.6%","80.5%","-4.99","-0.85","20.13","6.59","5.9%","20"
"","Arnaud Souquet","CHI","2024","CB","2113","1344","81.7%","82.1%","-5.03","-0.37","19.73","5.38","9.6%","26"
"","Alfredo Morales","SJE","2024","DM","779","367","82.3%","83.7%","-5.11","-1.39","18.18","4.49","3.5%","23"
"","Emmanuel Boateng","NER","2024","W","830","243","73.3%","75.4%","-5.24","-2.16","16.97","-0.34","2.3%","23"
"","Michael Wentzel","STL","2024","CB","208","78","71.8%","78.5%","-5.24","-6.72","25.04","10.27","4.4%","4"
"","Dawid Bugaj","MTL","2024","FB","179","56","71.4%","80.8%","-5.26","-9.39","14.67","-0.75","2.2%","5"
"","Kristian Fletcher","DCU","2024","W","338","114","71.0%","75.7%","-5.26","-4.61","15.64","-2.64","2.6%","13"
"","Wikelman Carmona","NYRB","2024","W","1782","600","78.0%","78.9%","-5.30","-0.88","18.56","3.28","6.5%","24"
"","Forster Ajago","NSH","2024","ST","469","83","67.5%","73.9%","-5.31","-6.40","16.34","-3.63","2.3%","12"
"","Diogo Gonçalves","RSL","2024","AM","628","233","71.7%","74.0%","-5.33","-2.29","18.94","0.74","5.2%","9"
"","Elliot Panicco","NSH","2024","GK","491","140","62.9%","66.8%","-5.46","-3.90","39.09","30.80","4.7%","6"
"","Shanyder Borgelin","MIA","2024","ST","184","31","51.6%","69.4%","-5.52","-17.80","14.54","-3.18","1.4%","6"
"","Gabe Segal","HOU","2024","ST","279","50","72.0%","83.2%","-5.58","-11.17","13.89","-2.28","0.8%","13"
"","Kei Kamara","LAFC","2024","ST","1168","208","71.6%","74.4%","-5.74","-2.76","16.04","-1.69","2.0%","27"
"","Jovan Mijatović","NYC","2024","ST","338","62","67.7%","77.0%","-5.77","-9.30","16.07","-0.11","1.4%","11"
"","Benji Kikanović","SJE","2024","FB","1391","487","71.5%","72.6%","-5.77","-1.19","16.48","3.30","5.1%","24"
"","Cristian Olivera","LAFC","2024","W","1866","431","69.6%","71.0%","-5.80","-1.34","16.49","-1.00","5.9%","21"
"","Jonathan Dean","CHI","2024","FB","1304","521","79.1%","80.2%","-5.90","-1.13","16.80","0.11","4.4%","24"
"","Corey Baird","CIN","2024","ST","1089","232","79.7%","82.3%","-6.02","-2.59","13.44","-1.74","2.3%","22"
"","Jordan Adebayo-Smith","MIN","2024","ST","329","53","66.0%","77.5%","-6.05","-11.41","13.15","-1.93","1.4%","11"
"","Tai Baribo","PHI","2024","ST","1587","324","79.6%","81.5%","-6.11","-1.89","13.85","-1.86","4.5%","20"
"","Victor Wanyama","MTL","2024","CM","474","260","86.9%","89.3%","-6.17","-2.37","17.05","2.39","3.9%","12"
"","Damion Lowe","PHI","2024","CB","1100","491","77.8%","79.1%","-6.29","-1.28","24.91","10.94","9.6%","12"
"","Allan Arigoni","CHI","2024","FB","2377","1229","79.2%","79.7%","-6.37","-0.52","18.37","2.98","8.8%","28"
"","Jeremy Rafanello","PHI","2024","AM","396","140","74.3%","78.8%","-6.38","-4.56","17.64","3.50","2.9%","11"
"","Cody Baker","SEA","2024","FB","566","308","75.6%","77.7%","-6.42","-2.09","17.85","2.29","4.6%","13"
"","Jesús Bueno","PHI","2024","CM","738","311","80.1%","82.2%","-6.59","-2.12","18.29","0.90","5.2%","14"
"","Ian Fray","MIA","2024","FB","765","327","84.4%","86.4%","-6.60","-2.02","20.76","0.98","5.0%","14"
"","Anthony Markanich","STL, MIN","2024","FB","1545","724","72.1%","73.0%","-6.73","-0.93","18.47","6.75","8.0%","21"
"","Alenis Vargas","SKC","2024","W","736","163","71.2%","75.3%","-6.77","-4.16","15.33","-0.80","2.3%","20"
"","Alonso Martínez","NYC","2024","ST","1668","293","78.2%","80.5%","-6.78","-2.31","12.34","-1.49","2.7%","26"
"","Carlos Terán","CHI","2024","CB","1373","889","82.8%","83.6%","-6.86","-0.77","25.14","9.12","9.3%","18"
"","Nikolas Dyhr","STL","2024","FB","166","83","63.9%","72.2%","-6.92","-8.34","18.38","9.61","3.4%","5"
"","Rasmus Alm","STL","2024","W","962","231","64.5%","67.5%","-6.95","-3.01","18.06","1.73","3.0%","20"
"","Dániel Gazdag","PHI","2024","AM","2807","1066","80.8%","81.5%","-7.22","-0.68","16.42","1.54","7.8%","30"
"","John Pulskamp","SKC","2024","GK","603","146","61.6%","66.6%","-7.22","-4.94","39.32","32.28","4.5%","6"
"","Yannick Bright","MIA","2024","CM","1624","763","87.0%","88.0%","-7.24","-0.95","17.73","2.29","6.3%","23"
"","Ryan Meara","NYRB","2024","GK","710","185","62.7%","66.6%","-7.29","-3.94","38.73","32.10","4.9%","7"
"","Bill Tuiloma","CLT","2024","CB","225","145","77.2%","82.3%","-7.35","-5.07","27.23","13.35","7.5%","4"
"","Aaron Boupendza","CIN","2024","ST","655","145","70.3%","75.5%","-7.42","-5.12","13.80","1.39","2.7%","14"
"","Olivier Giroud","LAFC","2024","ST","663","151","72.9%","77.8%","-7.49","-4.96","12.75","-2.70","3.5%","10"
"","Georgios Koutsias","CHI","2024","ST","1018","163","71.8%","76.4%","-7.50","-4.60","14.97","-4.71","1.4%","30"
"","Nathan Fogaça","POR","2024","ST","285","44","61.4%","78.4%","-7.50","-17.04","13.49","-1.14","0.9%","16"
"","Sunusi Ibrahim","MTL","2024","ST","1181","309","78.3%","80.8%","-7.51","-2.43","16.73","0.32","2.9%","25"
"","Fabian Herbers","CHI","2024","CM","2329","1048","82.6%","83.4%","-7.65","-0.73","17.04","1.75","7.0%","30"
"","Jackson Hopkins","DCU","2024","DM","1091","376","78.7%","80.8%","-7.72","-2.05","19.35","4.15","5.2%","17"
"","Latif Blessing","HOU","2024","W","1142","327","80.4%","82.8%","-7.73","-2.36","14.29","-0.63","2.5%","27"
"","Anderson Julio","RSL","2024","ST","1596","255","77.3%","80.3%","-7.75","-3.04","15.21","-2.78","2.2%","33"
"","Joaquín Sosa","MTL","2024","CB","1417","902","83.3%","84.1%","-7.89","-0.87","19.60","4.39","8.1%","19"
"","Mateusz Bogusz","LAFC","2024","ST","2871","1093","79.0%","79.8%","-8.03","-0.73","19.25","-0.07","7.4%","32"
"","Simon Becher","STL","2024","ST","610","126","70.6%","77.0%","-8.08","-6.41","13.47","-1.83","4.1%","9"
"","Jackson Travis","COL","2024","FB","539","280","79.3%","82.2%","-8.11","-2.90","17.07","2.94","6.1%","9"
"","Enzo Copetti","CLT","2024","ST","554","124","67.7%","74.3%","-8.12","-6.55","13.22","-0.11","3.4%","9"
"","Nikola Petkovic","CLT","2024","CM","578","164","72.0%","76.9%","-8.15","-4.97","18.25","0.01","3.0%","14"
"","Jamal Thiaré","ATL","2024","ST","1311","159","64.8%","70.0%","-8.22","-5.17","13.23","0.24","2.2%","25"
"","Mason Toye","POR, MTL","2024","ST","725","136","72.8%","78.9%","-8.30","-6.11","15.41","-1.96","1.8%","17"
"","Ariel Lassiter","CHI, MTL","2024","FB","2279","947","79.9%","80.8%","-8.40","-0.89","17.46","-1.23","6.4%","27"
"","Bobby Wood","NER","2024","ST","651","122","72.1%","79.0%","-8.41","-6.89","15.21","-2.65","1.8%","18"
"","Raheem Edwards","MTL","2024","FB","1723","992","80.0%","80.9%","-8.50","-0.86","18.04","2.98","7.7%","25"
"","Luca Langoni","NER","2024","W","761","186","74.2%","78.8%","-8.54","-4.59","16.95","-0.55","4.3%","11"
"","Nökkvi Thórisson","STL","2024","W","1419","326","70.3%","72.9%","-8.60","-2.64","15.06","-0.62","3.0%","30"
"","Kevin Kelsy","CIN","2024","ST","1394","242","73.1%","76.7%","-8.60","-3.55","13.80","-0.67","2.9%","23"
"","Jonathan Rodríguez","POR","2024","W","2723","751","74.8%","76.0%","-8.63","-1.15","15.92","-1.86","6.0%","29"
"","Daniel Ríos","ATL","2024","ST","1564","332","75.0%","77.6%","-8.67","-2.61","14.75","-1.78","3.1%","27"
"","Bongokuhle Hlongwane","MIN","2024","W","2144","575","73.7%","75.3%","-8.67","-1.51","15.36","1.95","5.4%","32"
"","Preston Judd","SJE","2024","ST","858","135","64.4%","71.2%","-9.05","-6.70","15.63","0.37","1.5%","26"
"","Cristian Espinoza","SJE","2024","W","3275","1507","67.0%","67.6%","-9.08","-0.60","19.35","0.94","9.9%","34"
"","Gyasi Zardes","ATX","2024","ST","1411","271","70.1%","73.5%","-9.26","-3.42","13.80","-0.72","2.3%","33"
"","Julián Fernández","NYC","2024","W","808","326","73.6%","76.5%","-9.40","-2.88","17.36","-0.14","3.3%","21"
"","Teemu Pukki","MIN","2024","ST","1064","174","69.0%","74.4%","-9.52","-5.47","14.09","-1.29","2.7%","21"
"","Yamil Asad","CIN","2024","FB","975","628","79.6%","81.1%","-9.54","-1.52","16.99","0.99","5.0%","23"
"","Jesús Ferreira","FCD","2024","AM","1471","689","76.6%","78.0%","-9.60","-1.39","17.71","1.86","5.7%","22"
"","Omar Campos","LAFC","2024","FB","1826","846","78.4%","79.5%","-9.72","-1.15","18.84","1.72","6.3%","27"
"","Gastón Giménez","CHI","2024","DM","1940","1103","84.7%","85.6%","-9.79","-0.89","21.18","4.69","7.3%","29"
"","Ezequiel Ponce","HOU","2024","ST","810","171","77.2%","82.9%","-9.82","-5.74","11.64","-2.69","3.7%","10"
"","Dennis Gjengaar","NYRB","2024","W","1102","273","70.7%","74.3%","-9.88","-3.62","16.13","1.49","2.7%","25"
"","Darren Yapi","COL","2024","ST","939","158","67.7%","74.0%","-9.88","-6.25","12.91","-0.18","1.6%","31"
"","Jon Gallagher","ATX","2024","FB","3014","1300","77.7%","78.5%","-10.15","-0.78","20.87","1.24","8.5%","32"
"","Diego Rubio","ATX","2024","ST","2097","531","73.3%","75.2%","-10.16","-1.91","16.74","2.05","4.1%","33"
"","Sergio Santos","CIN","2024","ST","1114","311","72.7%","76.0%","-10.43","-3.35","13.72","-0.85","2.6%","28"
"","Sebastián Ferreira","HOU","2024","ST","838","211","77.3%","82.2%","-10.46","-4.96","13.26","-2.19","2.3%","18"
"","Leo Afonso","MIA","2024","W","326","97","66.0%","76.8%","-10.48","-10.81","14.82","-0.18","2.0%","11"
"","Alvas Powell","CIN","2024","CB","908","402","76.1%","78.7%","-10.54","-2.62","23.14","6.41","4.3%","20"
"","Jeremy Ebobisse","SJE","2024","ST","2117","536","78.4%","80.4%","-10.81","-2.02","16.15","-0.03","4.2%","31"
"","Stephen Afrifa","SKC","2024","W","914","230","73.9%","78.6%","-10.86","-4.72","14.02","-1.13","3.0%","24"
"","Obed Vargas","SEA","2024","DM","2841","1210","83.8%","84.7%","-10.93","-0.90","16.40","0.91","8.4%","30"
"","Deandre Kerr","TOR","2024","ST","1133","155","73.6%","80.6%","-10.95","-7.07","14.48","-1.99","2.0%","26"
"","Tomás Chancalay","NER","2024","W","1066","352","73.0%","76.1%","-11.06","-3.14","22.12","1.61","6.1%","12"
"","Patrickson Delgado","FCD","2024","CM","1296","608","81.3%","83.1%","-11.15","-1.83","18.12","1.52","5.6%","23"
"","Matías Cóccaro","MTL","2024","ST","1032","228","69.3%","74.2%","-11.27","-4.94","15.61","-0.19","2.7%","22"
"","Cedric Teuchert","STL","2024","ST","840","207","69.1%","74.6%","-11.34","-5.48","16.91","2.08","5.4%","10"
"","Vitor Costa","SJE","2024","FB","2321","1034","76.8%","77.9%","-11.48","-1.11","20.08","3.14","8.2%","29"
"","Georgios Giakoumakis","ATL","2024","ST","807","149","73.8%","81.5%","-11.49","-7.71","14.97","-0.96","3.8%","11"
"","Jake Davis","SKC","2024","FB","2476","1469","78.6%","79.4%","-11.73","-0.80","19.45","4.96","10.2%","27"
"","Jules-Anthony Vilsaint","MTL","2024","AM","943","223","78.0%","83.3%","-11.77","-5.28","16.23","-0.95","2.7%","19"
"","Saba Lobjanidze","ATL","2024","W","2728","774","69.9%","71.4%","-11.81","-1.53","16.44","-0.48","6.0%","30"
"","Dénis Bouanga","LAFC","2024","W","3074","735","68.8%","70.5%","-11.85","-1.61","17.75","0.26","7.4%","32"
"","Derrick Etienne Jr.","TOR, ATL","2024","AM","1847","687","78.6%","80.3%","-11.93","-1.74","19.13","-0.83","5.6%","25"
"","Zack Steffen","COL","2024","GK","3364","1054","70.0%","71.2%","-12.10","-1.15","39.19","30.74","5.9%","33"
"","Obinna Nwobodo","CIN","2024","CM","2762","1392","85.8%","86.7%","-12.13","-0.87","18.69","2.88","8.4%","30"
"","Conner Antley","DCU","2024","FB","507","203","66.5%","72.5%","-12.19","-6.00","19.97","8.26","7.2%","7"
"","Josh Atencio","SEA","2024","DM","1225","750","79.5%","81.2%","-12.63","-1.68","18.35","3.59","7.0%","22"
"","Ruan","FCD, MTL","2024","FB","2708","1110","80.2%","81.3%","-12.78","-1.15","16.55","-2.11","6.7%","31"
"","Tom Barlow","CHI","2024","ST","941","186","67.2%","74.1%","-12.89","-6.93","14.09","-1.50","1.6%","28"
"","Tate Schmitt","HOU","2024","FB","527","365","73.4%","77.0%","-12.90","-3.53","21.49","4.01","3.7%","16"
"","Pedro Santos","DCU","2024","FB","2085","951","68.3%","69.7%","-12.99","-1.37","21.68","6.68","7.7%","30"
"","Edwin Mosquera","ATL","2024","W","771","273","69.2%","74.0%","-13.02","-4.77","17.57","-0.87","2.9%","22"
"","Matías Rojas","MIA","2024","W","901","409","79.5%","82.7%","-13.36","-3.27","18.86","2.95","4.9%","14"
"","Kelvin Yeboah","MIN","2024","ST","786","136","65.4%","75.4%","-13.53","-9.95","13.55","-1.37","4.9%","9"
"","Keegan Rosenberry","COL","2024","FB","2957","1679","74.5%","75.3%","-13.61","-0.81","20.88","6.07","10.3%","31"
"","Leonardo Campana","MIA","2024","ST","1468","385","76.6%","80.3%","-13.98","-3.63","14.65","-1.94","2.9%","28"
"","Cristhian Paredes","POR","2024","DM","1562","658","81.2%","83.3%","-14.15","-2.15","18.35","3.47","4.4%","31"
"","Chris Brady","CHI","2024","GK","3385","925","71.2%","72.8%","-14.16","-1.53","36.53","27.85","5.1%","33"
"","Dylan Nealis","NYRB","2024","FB","2659","1398","75.4%","76.4%","-14.25","-1.02","20.99","4.90","10.0%","30"
"","Dante Sealy","FCD","2024","FB","984","336","75.9%","80.2%","-14.52","-4.32","17.77","-0.92","4.8%","17"
"","Sean Johnson","TOR","2024","GK","2542","859","71.5%","73.2%","-14.63","-1.70","34.88","26.64","6.1%","25"
"","Kyle Duncan","NYRB","2024","FB","1446","690","74.5%","76.6%","-14.80","-2.14","17.85","2.75","7.4%","21"
"","Frankie Amaya","NYRB","2024","CM","1807","843","81.1%","82.9%","-14.81","-1.76","20.88","5.81","8.9%","20"
"","João Pedro","CLT","2024","FB","512","315","74.0%","78.7%","-14.89","-4.73","20.40","3.44","9.8%","7"
