"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Caleb Wiley","ATL","2024","FB","2145","1097","82.4%","80.4%","21.84","1.99","17.99","3.05","10.2%","21"
"","Sam Junqua","FCD","2024","CB","2517","1395","83.2%","81.6%","21.22","1.52","18.71","4.77","8.3%","31"
"","Andrew Brody","RSL","2024","FB","2418","1505","85.8%","84.4%","21.06","1.40","18.06","1.78","7.7%","33"
"","Sebastian Berhalter","VAN","2024","CM","2109","1027","75.8%","73.8%","20.74","2.02","24.73","5.62","6.8%","31"
"","Tomás Avilés","MIA","2024","CB","2449","1695","91.0%","89.8%","20.72","1.22","22.19","5.45","9.9%","27"
"","Sam Adekugbe","VAN","2024","FB","862","483","83.0%","78.8%","20.66","4.28","17.84","-0.68","5.4%","16"
"","Maren Haile-Selassie","CHI","2024","W","2288","838","80.4%","78.0%","20.61","2.46","16.74","-0.23","6.4%","27"
"","Mauricio Pineda","CHI","2024","CB","1340","738","89.7%","86.9%","20.54","2.78","21.33","7.23","6.5%","21"
"","Kyle Smith","ORL","2024","FB","1357","819","82.8%","80.3%","20.24","2.47","19.23","5.97","5.1%","29"
"","Martín Cáceres","LAG","2024","CB","1214","712","93.8%","91.0%","20.23","2.84","18.22","4.75","7.3%","15"
"","Thiago Almada","ATL","2024","AM","1580","1034","79.8%","77.9%","19.97","1.93","21.16","5.11","11.7%","17"
"","Max Arfsten","CLB","2024","FB","2184","1105","82.6%","80.8%","19.88","1.80","17.51","-1.55","6.3%","31"
"","Federico Bernardeschi","TOR","2024","FB","2765","1313","76.3%","74.8%","19.45","1.48","20.76","1.17","10.0%","29"
"","Chidozie Awaziem","CIN","2024","CB","599","436","88.1%","83.7%","19.26","4.42","22.27","8.57","9.9%","7"
"","Sigurd Rosted","TOR","2024","CB","1958","930","82.8%","80.7%","19.25","2.07","21.82","9.40","6.9%","25"
"","Roman Bürki","STL","2024","GK","3227","1131","71.9%","70.2%","18.82","1.66","40.12","31.81","6.8%","32"
"","Andreas Maxsø","COL","2024","CB","3466","1563","87.6%","86.5%","18.51","1.18","21.66","7.63","8.9%","34"
"","Guilherme Biro","ATX","2024","FB","2588","1309","80.0%","78.6%","18.41","1.41","19.78","4.11","8.9%","31"
"","Diego Rossi","CLB","2024","AM","2970","1169","80.8%","79.2%","18.40","1.57","17.43","0.25","6.3%","34"
"","Ali Ahmed","VAN","2024","FB","1519","676","80.8%","78.1%","18.30","2.71","17.15","-0.12","6.6%","22"
"","Matt Polster","NER","2024","DM","2933","1811","89.2%","88.2%","18.06","1.00","19.32","2.99","10.5%","31"
"","William Yarbrough","SJE","2024","GK","1939","559","76.4%","73.2%","17.92","3.21","38.02","28.96","6.1%","19"
"","Iván Angulo","ORL","2024","W","3103","1316","83.7%","82.4%","17.88","1.36","14.60","0.02","7.7%","34"
"","Joe Willis","NSH","2024","GK","2948","932","72.3%","70.4%","17.86","1.92","36.64","28.40","5.8%","30"
"","Sergi Palencia","LAFC","2024","FB","2563","1432","79.8%","78.6%","17.69","1.24","18.38","4.53","9.3%","30"
"","Brayan Vera","RSL","2024","CB","2388","1435","81.5%","80.2%","17.62","1.23","25.79","9.80","10.2%","24"
