"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Mason Toye","POR, MTL","2024","ST","725","-0.50","-0.08","-0.13","-0.65","0.02","-0.05","-1.38"
"","Julian Gressel","MIA","2024","W","2521","-0.98","-0.05","-0.06","0.08","-0.18","-0.21","-1.40"
"","Indiana Vassilev","STL","2024","W","2075","-0.56","-0.13","-0.26","-0.21","-0.05","-0.19","-1.40"
"","Diego Rossi","CLB","2024","AM","2970","-0.10","0.03","-0.49","-2.08","0.81","0.42","-1.40"
"","Niko Tsakiris","SJE","2024","DM","1611","-0.33","-0.13","-0.44","-0.26","-0.20","-0.04","-1.40"
"","Yannick Bright","MIA","2024","CM","1624","-0.40","-0.27","0.98","-0.82","-0.49","-0.39","-1.41"
"","Brecht Dejaegere","CLT","2024","W","1063","-0.43","-0.11","-0.24","-0.16","-0.14","-0.35","-1.43"
"","Nick Lima","NER","2024","FB","2032","-0.29","-0.22","0.11","-0.79","-0.12","-0.12","-1.43"
"","Fabian Herbers","CHI","2024","CM","2329","0.26","-0.12","-0.35","-0.85","-0.42","0.03","-1.45"
"","Tristan Muyumba","ATL","2024","CM","2366","0.07","-0.44","-0.06","-0.73","-0.31","-0.01","-1.47"
"","Diego Rubio","ATX","2024","ST","2097","-0.82","0.37","-0.03","0.19","-0.71","-0.48","-1.48"
"","John Nelson","LAG","2024","FB","1324","-0.09","0.08","-1.12","-0.16","-0.13","-0.11","-1.52"
"","Leonardo Campana","MIA","2024","ST","1468","-0.98","-0.14","0.14","-0.98","0.37","0.05","-1.54"
"","Wil Trapp","MIN","2024","CM","2574","-0.51","-0.09","-0.27","0.18","-0.60","-0.26","-1.55"
"","Joakim Nilsson","STL","2024","CB","1373","-0.17","-0.15","-1.27","0.03","-0.06","0.05","-1.58"
"","Lalas Abubakar","COL","2024","CB","1445","0.01","-0.12","-1.01","-0.21","-0.13","-0.12","-1.58"
"","Nathan Byrne","CLT","2024","FB","3168","0.40","0.08","-0.93","-0.22","-0.58","-0.33","-1.60"
"","Jhojan Valencia","ATX","2024","DM","1642","-0.28","-0.20","-0.35","-0.29","-0.35","-0.16","-1.64"
"","Robert Voloder","SKC","2024","CB","1978","-0.43","0.17","-0.63","-0.15","-0.39","-0.21","-1.64"
"","Ethan Finlay","ATX","2024","W","955","-0.58","-0.07","-0.06","-0.25","-0.30","-0.39","-1.64"
"","Ema Twumasi","FCD","2024","FB","1351","0.01","-0.44","-0.44","-0.48","-0.18","-0.13","-1.66"
"","Shane O'Neill","TOR","2024","CB","1289","-0.32","-0.48","-0.26","-0.22","-0.26","-0.17","-1.70"
